ASIN,Page,RevNmb,Title,User,Rating,VPS,RDate,HVotes,CommentsCount,ReviewText
B07BTS2KWK,2,11,Stopped working in less than 3 months!!,Amazon Customer,1,Yes,04-Dec-18,106,6,Just bought this iPad in September and it has stopped working. Can’t even cut it on. I haven’t dropped it or gotten it wet. What is my recourse?!!!
B07BTS2KWK,2,12,Box was empty!!!,Melissa Clark,1,Yes,05-Feb-19,98,4,"I received an empty box. It appeared sealed. When I opened it, there were 3 white ceramic tiles glued in the box where the iPad should have been! I thought that was odd and maybe the iPad was underneath. It wasn’t. The only other thing in the box was the charger. I look forward to receiving my actual iPad when I send this back."
B07BTS2KWK,2,13,I know other people of had luck but I would stay away.,Dustin Andert,1,Yes,31-Dec-18,75,1,"I was very hesitant about buying this product from a third-party and it turns out I was right. I’ve only had this product 10 days and it’s having an issue holding a charge. The first time was about five days ago, I was watching a YouTube video. I noticed the battery draining pretty rapidly while plugged in to a charger. I moved it to three different outlets and it took four hours to go from 93% to 99%. It has stayed on charge since until two days ago when I visited my parents. When I got home and put it back on charge. I noticed the battery draining. I moved it to four different outlets, used for different chords, and three different adapters. It is been charging now for 26 hours straight and still losing battery life. This is with Wi-Fi turned off, it being on airplane mode, and the brightness turned off. Not to mention no apps are running. Somehow, I am responsible for 50% of the cost of them sending me a defective product? I know other people of had luck but I would stay away."
B07BTS2KWK,2,14,Best tablet for the money,Lantana Al,4,Yes,25-Nov-18,63,1,"Great tablet for the money. I'm an Android phone person but there's really no competition with iOS in the tablet department. Yes Apple sometimes drives me crazy with their ""high security"" and bugs but overall it's still the best tablet for the money in quality, longevity, frequent updates, and resell value. The Android tablets I have bought are all cheaper but I never seem to end up getting anywhere close to the use I get from Apple tablets so the Android tablets don't really end up being the better buy in the end.

UPDATE 2019-02-11: Still a good tablet overall but I'm lowering my rating to 4 stars because Apple security is ""nuts"". It just wasted my time signing me out of stuff and forcing my to change my password. Really annoying when you are trying to get stuff done and you have to keep entering your Apple ID and password for anything to work and for all the annoying prompts to go away long enough for you to do something."
B07BTS2KWK,2,15,All your dreams have come true,AmazonGirl,5,Yes,17-Dec-18,53,2,"Ordered the new iPad because the sale was too good to let go. I had wanted the iPad Apple Pencil pair, so being able to get both for the price of just the iPad after tax was worth it. Apple got us, yet again. Not that I mind though, I love my apple products. This iPad is a great example. I will primarily be using it for digital art/graphic design/photo editing adobe type programs. I’ve used half the Wacom models, including the cintique. Haven’t had a chance to use the new iPad Pro and pencil, but for the more affordable version, this earns all 5 stars.

#1, gorgeous screen, easy to set up, easy to use right out of the box. Set up is even easier now if you have another apple device. The setup prompt me to grab an apple device logged into my account already. From there I entered my passcode on my phone, before I knew it the iPad was asking if I wanted all my apps brought over, or if I wanted to start fresh. They took what I thought was already a pretty easy process thanks to iCloud, and made it even more user friendly.

#2, it feels like the money you spent. Unlike other android devices I have attempted, iOS devices have never let me down in the quality department. This being said, it’s not as light as the kindle fire or what have you, but it’s going to last longer and be a more enjoyable experience over all for the extra couple of ounces. It’s not heavy compared to my MacBook, which is why I have it. Fits in my purse while still being a gorgeous screen to watch movies on. Retina displays will change your life, and ruin every other screen you look at.

#3, the Apple Pencil. I get it now. And do not regret a single penny spent. The pressure sensitivity, accuracy of the accelerometer, how fast it charges, and how the pen to screen experience is closer to paper than anything I’ve ever used. I’m talking Wacom Cintique level accuracy on a tablet. It feels unreal. I love my moleskines more than the next person, but I’m worried they might be getting less use in the coming months just because this is so user friendly.

I’ll be sure to add battery details or any updates, but those 3 alone were enough to sell me on the purchase."
B07BTS2KWK,2,16,Good & Bad !?!,BIGFINGERS,4,Yes,10-Dec-18,50,3,"If you like Apple, you will like it. If you are not an Apple person, and are used too Android and ""OK Google,"" you may not like it. I love Windows and its problems, then Andorid, others, and Apple last. But as a tablet, its good for the price--and I like it, almost love it! Could love it if not for limitation Apple had deliberately implemented. I would give a 3 1/2 Stars but there is no option for that!

The Bad:
1) ""Siri"" is inferior when compare to ""OK Google!""
2) Apple is very limited to customizing, very limited! Apple removes the fun and does not allow one to use as one would like to. Apple choose for you. If you want freedom of use, and are a free thinker, Apple is not for you.
3) Bloatware apps that cannot be removed which includes news medial outlets. If you have a liberal mind set, you will like the preselected news outlets. If you are conservative, moderate or want no bias of any political party, to bad. You can't remove preselected news or add new media outlets that are not left. But you can down load the app of the dersed news media outlet as an option. I like hear both side and not be forced to one side or the other. I have capacity and will to think and can decide for myself. Just give me the facts, not opinion.
4) Apple wants to use your location all the time for just about everythig -- not cool! If you don't turn on the location, many apps will not work. Seriously!?!

The Good:
1) Battery Life - Amazing!!! Beyond Good!
2) Speeker Quality - quite good, surprisingly.
3) Screen is Good, not Samsung screen quality, but Good!
4) Smooth Functionallity
5) Durable and Quality build for sure!"
B07BTS2KWK,2,17,Perfect Match for Casual Use,craigk49,4,Yes,05-Feb-19,37,0,"Amazon Review

Passes all of the tests

I was reluctant to buy because some of the details on Amazon’s product page seemed a bit vague. I didn’t want to end up with a refurbished nightmare. I’m glad I made the plunge!

It arrived on the promised date. The packaging was typical high quality Amazon.

I was glad to see a pristine Apple box complete with shrink wrap in place. The Apple box was in pristine condition just as though I just brought it home from my local Apple store. So far, so good.

After removing the heat shrink and sliding the box apart, I was greeted with Apples typical new device presentation. The iPad was enveloped in the clear plastic wrap and thoughtful tab used to lift the iPad up and out of the box easily.

I carefully examined the iPad and it was free of fingerprints, scratches, dings and dents. In short, just like it should for a brand new Apple device. I smiled.

After charging the battery, I proceeded to the set up. This was super easy as most of the set up info was transferred from the iPhone. It went smoothly with no glitches to speak of. The only “work” was to reactivate a few non-Apple apps. That went quickly.

As much as I love the iPad bare back (Space Gray) I am aware that due to size and weight, surviving even small drops could yield far worse than than an iPhone. So, I installed an Otter Box Defender. Visually as ugly as the iPad is beautiful bare back. Small price to pay for protecting the iPad from me. LOL!

After reading reports of broken screens even in Defender cases, I opted to get AppleCare as a backup. After fiddling around in Apple Support and getting nowhere, I called Apple and a very helpful service rep walked me through the process. He even helped me set up a few other things and I had AppleCare in less than an hour. It took longer because I’m still adapting to how things work. I come from the world of PowerBooks and desktop Macs.

The ability to purchase AppleCare also tells me that this is not an Amazon or 3rd party refurbish. Only new devices that have never been registered sold are eligible for AppleCare. And only for 60 days after warranty start date. I smiled again.

I tested the battery by topping off the battery and disconnecting the power. Then proceeded to watch movies, read emails, cruise the web, etc. The low charge warnings appeared at the 10 hour mark. I smiled. Exactly what is expected for a new iPad.

Should you get one? Depends on how you plan to use it. For the average user, this will cover all the bases. If you are more of a power user, then you may need to move up to the iPad Pro series.

Based on my experience, I’m satisfied with Amazon, and this iPad. If you have no heavy use needs I’m sure you will be just as happy. Highly recommended!"
B07BTS2KWK,2,18,"Brand new as described, still in original package!",Abby,5,Yes,12-Oct-18,44,0,"Product arrived in the original package, seal still intact. Package arrived promptly and as described. iPad is gorgeous and is exactly what I was looking for! I was on the fence about purchasing an Apple product through Amazon, but everything came as promised and it works amazing! Would highly recommend!"
B07BTS2KWK,2,19,the product arrived in perfect condition,fernanda altamirano,5,Yes,05-Dec-18,56,0,"I love my new iPad, I arrive in perfect condition, with all its accessories. It works perfectly."
B07BTS2KWK,2,20,worth the upgrade if you have an Air 2,dreemsnake,5,Yes,27-Sep-18,38,0,"Much faster and less glitchy than my Air 2, battery lasts longer, no longer have trouble finding nearby networks. I know people said it’s not worth the upgrade if you have an Air 2 but it was totally worth it to me."
B07BTS2KWK,3,21,Working great. Thanks,GLENN A. LOPEZ,5,Yes,17-Jul-18,41,1,Arrived extremely quick and just as advertised. New and in box with all accessories. Working great. Thanks!
B07BTS2KWK,3,22,Great,Khulood,5,Yes,07-Aug-18,140,0,AMAZING and fast delivery &#55357;&#56396;&#55356;&#57339;
B07BTS2KWK,3,23,it is criminal to release mobile device with 2gb ram this day,anonymous,1,-,22-Nov-18,56,11,it is criminal to release mobile device with 2gb ram this day. and then cash grab with pro version with 4gb.
B07BTS2KWK,3,24,Don’t buy Apple products from amazon.,Marianne Nicole,1,Yes,16-Jan-19,32,3,Absolutely horrible.. don’t ever buy Apple products from amazon. My iPad is a WEEK old and won’t hold a charge. It’s been plugged in the charger for 2 hours and is on 1%..
B07BTS2KWK,3,25,Amazon does not record SNs,Kindle Customer,1,Yes,05-Feb-19,31,4,"I purchased a 32GB iPad from Amazon for a family member for Christmas. during the festivities it was set up incorrectly, and locked to an account that does not exist. Only way to fix the issue requires a proof of purchase to ensure Apple is not getting scammed. Apparently Amazon does not record what SN you bought in a place that can be accessed by the end user, nor can support staff provide the info. Until this is rectified, I would not recommend purchasing from Amazon."
B07BTS2KWK,3,26,Awesome,sheydasaadat,5,Yes,24-Nov-18,76,0,looks great i just got it. works perfectly. can pair with apple pencil.
B07BTS2KWK,3,27,"Great hardware, but Apple's is too restrictive.",Steven J. Gutierrez,3,Yes,23-Feb-19,21,0,"The Apple iPad (latest model): That's a rather confusing description of the product, don't you think? What's next years model going to be called? Will they refer to last year's model then as ""the second-to-the-latest-model?"" I ordered the iPad to create a song using Garage band. It came in a white box with ""iPad"" printed on it, and included the device, a charger and cable, and a warranty card. The cable was wrapped with a piece of cardboard rather than a twist-tie, which was weird, and not too easy to put back that way. The tablet is so thin and sleek, you really want to buy a case for it immediately, because it's difficult to hold otherwise. It is quite impressive how thin they can make these consumer computers. You still get a headphone jack with this model (thanks for spending the extra dollars Apple), but no microSD slot to add storage or move files (they saved a few bucks there). It powered on with a friendly ""Hello"" on the screen, and everything worked as intended. It is responsive, clear, colorful, and sounds beautiful. It is perfect for consuming the news on the internet, checking emails, etc. Garage Band was fun to use, sounds great, but over simplified to the point where you are looking for back buttons that don't exist. I wanted to clear my song and start over, so I pressed ""New"". It kept pulling up my full song. I created another song, and then tried to offload it to my PC by connecting it via USB. The only access to the unit from File Manager is the DCIM folder. Apple locks you out of seeing what else is on the device. Since it automatically uploaded my song to the iCloud, the only way to get to it was to download and install an iCloud program. This means Apple sees everything I can possibly create with the iPAD. At that point, I decided to return it, and stay away from Apple's ""walled garden"". Apple's software is too proprietary for me, and so over-simplified, it actually gets harder to figure out how to do some technical things on it. However, I can see the appeal for those who need something with ""Fisher-Price"" simplicity."
B07BTS2KWK,3,28,Sure you want/need to upgrade?,Buttonsvixen,4,Yes,03-Dec-18,21,2,"Sure it's a fancy new ipad, with a nice new cord and pretty screen. But, on using it, it's not THAT much greater than the Ipad Air gen one I was replacing. I only got this to use with the apple pencil, so I'm not really disappointed. But. It seems nearly the same size and weight. It's hard to tell the two apart in fact. Maybe it does have a longer battery life. But my air is four years old by now, so there is that. Camera doesn't seem that much better. Speakers definitely are not any better. It does have fingerprint sign on. Which the air doesn't, but big whoop. You still need a numerical pass code anyway, in case you forget your fingerprints, or something."
B07BTS2KWK,3,29,Happy Birthday to ME!,@drdijones,5,Yes,21-Aug-18,25,0,"I just got this for my birthday this month. So I'm still learning new ways to use it, but I absolutely love it. It replaced an ipad I had for years. I am thrilled with everything about it."
B07BTS2KWK,3,30,My new iPad is USED!,LFOD,1,Yes,02-Mar-19,21,1,"UMMMM WHAT? I received Janette's iPad. All signed in and everything. Country set to Canada. Huge PITA to sign out of everything and change country settings. After all the work I am not going to return it, but come on man! If this is new then i am Ethel Merman (see who doesn't have to google that one)"
B07BTS2KWK,4,31,iPad 9.7 arrived DOA,Dave,3,Yes,06-Dec-18,23,0,The first iPad 9.7 I received would only display apple logo then screen went black. Apple support indicated it was a hardware issue. Amazon did a good job of sending a replacement 4 or 5 days later. Second one worked fine.
B07BTS2KWK,4,32,Pretty rose gold color,Rebecca,4,Yes,08-Oct-18,22,0,"It came in it’s original packaging and looked very nice and sleek and pretty. My only complaint about the product itself is that the screen feels like plastic and very delicate. I bought a glass screen protector to put over it because I was very afraid it would break.

Edit: i have started to have a few problems with this crashing on me occasionally where it has the black loading screen with the spinning wheel in the middle of doing something and then it goes back to the lock screen. Not a huge deterrent, but I would like for it to... not do that? It could lead to something bigger. I didn’t buy Apple care for this though so I don’t think I can do anything about it now."
B07BTS2KWK,4,33,THE DARN THING IS NOT GOLD! IT'S ROSE GOLD ...,Janet N Caruso,5,Yes,26-Jul-18,26,1,"Delivered quick, The color is Rose Gold NOT Gold....New Works great so far"
B07BTS2KWK,4,34,Upgraded From An Older Model,Jim,5,Yes,12-Dec-18,21,0,"My iPad 2 served me well but being 7 years old, the performance and battery life became too annoying to put up with. The latest iPad has exceptional battery life and its processor keeps navigation smooth and fast. I was particularly impressed and surprised how fast and easy it was to set up, using iTunes and my iPhone to wirelessly import all of my apps and settings."
B07BTS2KWK,4,35,Good quality.,Dong Jae Lim,5,Yes,04-Dec-18,25,0,Good quality. I liked it. Fast delivery
B07BTS2KWK,4,36,Wrong decepti,matthew,1,Yes,03-Dec-18,23,4,Please fix description as gold is really ROSE GOLD..
B07BTS2KWK,4,37,DIDNT COME WITH CHARGER OR PODS,Brian Correa,1,Yes,25-Dec-18,23,0,It didn’t come with the charger it pods!! What the hell????
B07BTS2KWK,4,38,Satisfied Customer ??,Amazon Customer,5,Yes,25-Aug-18,22,1,Product was brand new and easy to set up. Would buy again from seller.
B07BTS2KWK,4,39,Works perfect with Apple pencil,Edgar Hernandez,5,Yes,27-Aug-18,22,0,"It works perfect, fast and with plenty of battery work hours, this model works with apple pencil with no issues"
B07BTS2KWK,4,40,Forget About Anything Else and Go With Apple,believeinthestars,5,Yes,06-Oct-18,20,0,"I decided to go with what Android braggers were saying and gave a Samsung Galaxy tablet a try... in less than a week I was so frustrated with how neanderthal it was, I returned that Galaxy and will never go there again!"
B07BTS2KWK,5,41,Why Pay Apple $1000 for an iPad Pro When You Can Have This For A 1/3 Price,Rodster,5,Yes,03-Dec-18,17,0,"I'm a huge Apple fan but Apple's pricing has gone a bit, how shall I say it on the greedy side. No way would I spend $500 on a tablet in 2018. The Budget iPad is the perfect combination of price and performance. I purchased this when Amazon was selling them for $249 and it's tough to beat that price for what you get. The tablet industry has matured but Apple still makes the best, cohesive and easy to use tablets."
B07BTS2KWK,5,42,AMAZING,Jessica Mia,5,Yes,09-Dec-18,16,0,"I've never owned an ipad before but since getting an iphone I thought I'd spoil myself and plunge into the apple world. Upon opening I was really surprised at how great it looked, very light and it was super easy to set up (this coming from the least tech savvy person you'd ever meet). I also use this for school and it comes in handy having a digital copy of my textbooks, starting projects on it, or word documents. This is just all around a great product, it got to me before expected and was handed directly to me, so no worries of someone getting my new investment. I highly recommend!"
B07BTS2KWK,5,43,Amazing apple product (as always),Min-Ho Lee,5,Yes,06-Dec-18,13,1,"I purchased the iPad 6th generation (2018) 128GB in the gold color. Apple recently changed their gold to a more bronze color that is basically between their old gold color and rose gold (and I love it). I took advantage of the black friday sale and saved a lot of money.

PROS:
1) This model works with the first generation apple pencil and it works very well (palm rejection works well and little to no lag).
2) There is a headphone jack and a lighting charging port so you can listen and charge at the same time (yay!)
3) The color is gorgeous.
4) The split screen function is great and allow some you to operate more than one app at the same time. Some apps work better than others but when it comes to a drawing app and a reference picture.
5) The speakers are pretty nice and definitely are louder than my phone.
6) The battery lasts pretty long. I usually go 2-3 days until I need to charge it again.
7) Amazjng price for an iPad. I would recommend for students especially because of the great price.
(there are many more pros but these were most important)

CONS:
1) This model of the iPad does NOT use a laminated screen so the gap between the surface of the glass and the screen itself is much bigger and is much more noticeable when drawing. Not a huge deal but the iPad pro line definitely does not have this problem.
2) This iPad does not have pressure sensitivity so it does not support 3D touch shortcuts (also not the hat big of a deal but it became a common habit on my phone).
3) This is an entry level iPad, so the processor is not as fast as the pro and the screen is smaller.

Overall, this was an amazing purchase and I would recommend this product. If you are thinking about getting yourself or someone else an iPad, go for it!"
B07BTS2KWK,5,44,Super quick delivery and arrived as advertised!,Amazon Customer,5,Yes,01-Sep-18,16,1,Super quick delivery and iPad was brand new as advertised. The iPad came with a good charge as well. I was afraid of paying for a new iPad and receiving a re-conditioned one so I was happy to see that the seller was honest and trustworthy.
B07BTS2KWK,5,45,Awful sound speaker came broken! Not new!,Tony,1,Yes,16-Jan-19,13,0,"Received iPad, excited for my step daughter on Christmas, found that the iPad once turned on, on Christmas Day and straight from box, speaker makes a awful sound for no reason. Almost as if speaker is blown, suppose to be new, doubt it. I am beyond disappointed more so for my step daughter that was super excited when she opened. Can’t be used because of awful sound!"
B07BTS2KWK,5,46,Half the pro for half the price,Antonio M,4,Yes,01-Dec-18,13,0,I have owned several generations of iPad and this one is not the worst. The cameras are old and dingy but do the job. The display and body are from the air 1. If you want this with apple pencil it will not be as smooth and realistic as the pro models it runs at 60hz which is half of the pro but it does work well. Overall good iPad for the price and has enough power to use for school with apple pencil support .
B07BTS2KWK,5,47,"Perfect for Children to Finish their School Works (IPad 6th Gen, 2018 Model)",Comnul,5,Yes,27-Nov-18,12,0,"Elementary school requires kid to search information to write and draw about certain topics.
I think this 6th generation Ipad is the perfect for children to finish their school works.
You can use the first generation apple pencils with this iPad model (Apple 1st Generation Pencil: additional $100 )."
B07BTS2KWK,5,48,A Serious Upgrade from 16GB iPad,JCArcht,5,Yes,11-Jan-19,9,1,"This time around, I purchased this iPad with 128 GB and both Wi-Fi and Data. Overall, I'm liking this new iPad. The display is awesome, and the upgraded iPad allows me to utilize the latest apps. An example of this is the Microsoft Word app, which has much of the word processing features of my computer version. I noticed that the battery life seems to be longer. My third-party pen works well on the apps which support it. About all that this iPad can not do that a laptop can do is computer-aided building design. The Cellular data option allows me to use it online anywhere rather than depend upon public wi-fi. Data downloads are fast. However, be aware that a good data plan will cost you a bundle. I tried shopping data plans for my iPad and many of the bargain cell data providers do not support iPads. I use this iPad for presentations, for field reports, and for internet and email access while out of the office."
B07BTS2KWK,5,49,6th Gen iPad!,TamBerine:,5,Yes,18-Dec-18,13,0,It is great! This is the 6th gen iPad.
B07BTS2KWK,5,50,Not a new product! You’re buying a referbb that doesnt work,Lindgay,1,Yes,17-Jan-19,13,1,Received my iPad today and it is bricked straight out of the box. It has clearly been used before and sent back to the facility. The box didn’t have the plastic in it and was dented all the hell. Product will not take charge or turn on.
B07BTS2KWK,6,51,Used. Beware,L.B.,1,Yes,30-Dec-18,14,1,iPad was used. It was locked and linked to someone else’s iTunes. Can’t use.
B07BTS2KWK,6,52,Takes Hours to setup,Marie,1,Yes,06-Feb-19,9,1,"I am so sick and tired of waiting for this Ipad to start working. It's so frustrating. I had spent over 2 hours trying to login to my WIFI. I have never had similar issues logging in with Android. Now that it finally logged in, It's been over an hour and the screen is stuck saying ""It may take a few minutes to activate your Ipad.""
I paid expedited shipping to have it delivered sooner and now I have to go and get an Android Pad. I really regret getting this Ipad.
The setup is Not at all user-friendly."
B07BTS2KWK,6,53,It’s great,Deborah A. Helpard,5,Yes,30-Aug-18,13,0,"It’s my 2nd iPad, love them"
B07BTS2KWK,6,54,Great for drawing and notes,wendy,5,Yes,12-Oct-18,11,0,"Works great so far. Definitely in brand new condition. The only trouble I had was that the iPad would not charge over 66% for some reason but after restarting, it charged again. I love the drawing capabilities and it’s so much easier to take notes or do assignments outside of class."
B07BTS2KWK,6,55,Best bang for the buck,Amazon Customer,5,Yes,20-Nov-18,11,0,"I've had both the Apple and Samsung tablets, both are good but I keep going back to the Apple because it just seems to be a little better in all areas."
B07BTS2KWK,6,56,"Nothing wrong with seller, everything wrong with product",Shopaholic Shopper,1,Yes,17-Mar-19,6,2,"What is wrong with the Apple quality these days? Never buying another one of these. Apple is expensive because it’s understood that it’s a premium product and you’re getting the best possible device for the money you invest. That’s why I’ve always bought their products. My Air 2 was great, lasted YEARS...I’ve dropped it. Accidentally fell asleep with it. I’ve travelled MILES with it; not so much as a hint of a fracture or splinter. I loved it but wanted the ability to draw so I bought this version. The screen feels CHEAP as hell and now I know why. It was dropped once from a small height and it spiderwebbed horribly in the corner but I taped it and it was fine although there were these really dangerous glass splinters left over. I bought another one in the meanwhile cause I thought, oh I’ll just be really careful with this new one. But the first one that fell is just deteriorating further with use and now I know why. It’s absolutely hollow beneath the screen. You tap on it and you can hear it. Now that my screen is falling apart, I can SEE it. And now my screen is a lawsuit waiting to happen. The glass dust could easily get into your eyes or be inhaled and do some real damage. I don’t think my Air 2 has this flaw. It’s solidly built. This is not. What a mistake that I heavily regret buying. It wasn’t even that much an improvement over my previous iPad. It’s just that I can draw on this one. T_T learn from my mistakes. Apple is going downhill. Not worth buying their new products."
B07BTS2KWK,6,57,Fragile Fragile Fragile,Alvin,1,Yes,06-Mar-19,9,0,"Long story short. The glass screen broke, with an expansive all protective case plus screen protector. This thing is a joke. I should have bought amazon tablet instead of this joke of a product. And now Apple wants 249 to replace the screen. Literally the same it costed. Very disappointed, low quality."
B07BTS2KWK,6,58,Chip on the side of the iPad,Daisy,1,Yes,25-Dec-18,9,0,"I purchased this iPad as a gift and just opened it tonight to activate it. It has been in its box the entire time and when I was looking at it, i noticed that it had a chip on the side. There is no way that I could have done this in the 5 minutes from me having it. Complete fail. I’m gonna try to return this. Buy your apple products directly from the apple store."
